,symbol,Z,A,energy_level_keV,half_life_s,spin,magnetic_dipole_moment_J_T,electric_quadrupole_moment_Cm2
4419,Pt,78,195,0.0,347327.99999999994,-6.5,3.0607749215939998e-27,2.2430470818e-47
4433,Pt,78,196,0.0,3.4e-11,2.0,3.1819937303700002e-27,9.933494219399999e-48
4437,Pt,78,196,0.0,3.68e-11,2.0,3.78808777425e-27,-6.2484882993e-48
4440,Pt,78,196,0.0,3.6e-12,4.0,7.5761755485e-27,1.6502417816099999e-47
4441,Pt,78,196,1526,9.799999999999999e-13,6.0,7.5761755485e-27,-3.2043529740000006e-48
4449,Pt,78,198,0.0,2.23e-11,2.0,3.13148589338e-27,6.7291412454e-48
4459,Au,79,184,0.0,21.0,5.0,1.045512225693e-26,7.5302294889e-47
4461,Au,79,184,0.0,49.0,2.0,7.273128526559999e-27,3.0441353252999997e-47
4465,Au,79,185,0.0,252.0,-2.5,1.1212739811780001e-26,-1.7623941357000002e-47
4470,Au,79,186,0.0,642.0,-3.0,5.404338557930001e-27,4.9667471097e-47
4487,Au,79,191,0.0,11448.0,-1.5,6.919573667630001e-28,1.1535670706399997e-47
4494,Au,79,192,0.0,18000.0,-1.0,5.050783699e-29,-3.65296239036e-48
4498,Au,79,193,0.0,63539.99999999999,-1.5,7.071097178600001e-28,1.0574364814200001e-47
4501,Au,79,193,0.0,3.9,-5.5,3.116333542283e-26,3.1723094442599997e-47
4509,Au,79,194,0.0,142200.0,-1.0,4.0406269592e-28,-3.8452235688e-48
4513,Au,79,195,0.0,15811200.0,-1.5,7.52566771151e-28,9.72521127609e-48
4516,Au,79,195,0.0,30.6,-5.5,3.116333542283e-26,2.99607003069e-47
4521,Au,79,196,0.0,533952.0,-2.0,2.9829928526294002e-27,1.2977629544699999e-47
4526,Au,79,197,0.0,inf,-1.5,7.483140112764421e-28,8.763905383890001e-48
4533,Au,79,197,0.0,7.8,-5.5,3.23250156736e-26,2.69165649816e-47
4543,Au,79,198,0.0,232934.40000000002,-2.0,2.9971350469866003e-27,1.0253929516800001e-47
4553,Au,79,199,0.0,271296.0,-1.5,1.3712877742785002e-27,8.171100083700001e-48
