nucleus,,energy_level,half_life,,spin,magnetic_dipole_moment,,electric_quadrupole_moment,Recommended
,,,,,,,,-0.0053(2),R
,,,,,,,,-0.08(5),
11 Na 27,,0,0.29 s,,5/2+,+3.895(5),,,
,,,,,,,,-0.0071(3),R
,,,,,,,,-0.0072(3),
,,,,,,,,-0.06(5),
,,,,,,,,Q/Q(26Na)=1.39(4),
11 Na 28,,0,30.5 ms,,1+,+2.426(5),,,
,,,,,,,,+0.0389(11),R
,,,,,,,,+0.0395(12),
,,,,,,,,-0.02(4),
,,,,,,,,Q/Q(26Na)=-7.7(2),
11 Na 29,,0,43 ms,,3/2+,+2.449(8),,,
,,,,,,,,+0.085(3),R
,,,,,,,,+0.086(3),
,,,,,,,,-0.03(5),
11 Na 30,,0,53 ms,,2+,+2.083(10),,,
11 Na 31,,0,17 ms,,3/2+,+2.305(8),,,
12 Mg 21,,0,122 ms,,5/2+,-0.983(7),,,
12 Mg 23,,0,11.3 s,,3/2+,0.5364(3),,,
,,,,,,,,0.114(3),R
,,,,,,,,0.125(5),
12 Mg 24,,1369,1.45 ps,,2+,+1.02(4),,,
,,,,,,,,-0.29(3),R
,,,,,,,,-0.18(2),
,,,,,,,,-0.178(13),
,,,,,,,,-0.07(3),
,,4123,38 fs,,4+,+1.6(12),,,
,,4238,73 fs,,2+,+1.2(4),,,
,,6010,55 fs,,4+,+2.0(16),,,
12 Mg 25,,0,stable,,5/2+,-0.85545(8),,,
,,,,,,,,+0.199(2),R
,,,,,,,,+0.201(3) a,
12 Mg 26,,1809,476 fs,,2+,+1.0(3),,,
,,,,,,,,-0.21(2),R
,,,,,,,,-0.14(3),
,,,,,,,,-0.14(3) or -0.10(3),
,,,,,,,,-0.11(6),
12 Mg 27,,0,9.46 m,,1/2+,-0.411(2),,,
12 Mg 29,,0,1.30 s,,3/2+,+0.9780(6),,,
12 Mg 31,,0,230 ms,,1/2+,-0.88355(15),,,
12 Mg 33,,0,90.5 ms,,3/2+,-0.7456(5),,,
13 Al 23,,0,37.2 s,,5/2+,+3.889(5),,,
,,,,,,,,0.16(5),Prelim.
13 Al 24,,426,131 ms,,1+,2.99(9),,,
13 Al 25,,0,7.18 s,,5/2+,3.6455(12),,,
,,,,,,,,0.24(2),R
13 Al 26,,0,7x10*5 y,,5+,+2.804(4),,,
,,,,,,,,+0.26(3),
,,,,,,,,+0.27(3),
13 Al 27,,0,stable,,5/2+,+3.6415069(7),,,
,,,,,,,,+0.1466(10),R
,,,,,,,,+0.1402(10),
,,,,,,,,+0.150(6) a,
13 Al 28,,0,2.24 m,,3+,3.242(5),,,
,,,,,,,,0.172(12),R
,,,,,,,,0.175(14),
,,31,1.91 ns,,2+,+4.3(4),,,
13 Al 30,,0,3.63 s,,3+,3.010(7),,,
13 Al 31,,0,644 ms,,(5/2+),+3.830(5),,,
,,,,,,+3.79(5),,,
,,,,,,,,0.140(2),R
,,,,,,,,0.134(2),
13 Al 32,,0,33 ms,,1+,1.952(2),,,
,,,,,,1.959(9),,,
,,,,,,,,0.025(2),R
,,,,,,,,0.024(2),
13 Al 33,,0,44 ms,,(5/2+),+4.088(5),,,
,,,,,,,,0.132(16),R
13 Al 34,,0,56 ms,,4-,+2.156(16),,,
14 Si 27,,0,4.1 s,,5/2+,-0.8652(4) d,,,
,,,,,,0.8654(3) d,,,
,,,,,,-0.8554(4),,,
,,,,,,,,0.063(14),R
,,,,,,,,0.060(13),
,,,,,,,,0.061(4),
14 Si 28,,1779,0.49 ps,,2+,+1.1(2),,,
,,,,,,,,+0.16(3),R
,,,,,,,,+0.18(3),
,,,,,,,,+0.16(3),
14 Si 29,,0,stable,,1/2+,-0.55529(3),,,
14 Si 30,,2235,0.25 ps,,2+,+0.8(2),,,
,,,,,,,,-0.05(6),R
,,,,,,,,-0.05(6) or +0.01(6),
14 Si 33,,0,6.332 s,,(3/2+),1.21(3),,,
14 Si 35,,0,0.78 s,,7/2-,- 1.638(4),,,
15 P 28,,0,270 ms,,3+,0.312(3),,,
,,,,,,0.309(9),,,
,,,,,,,,0.137(14),
15 P 29,,0,4.1 s,,1/2+,1.2346(3),,,
,,,,,,1.2349(3),,,
15 P 31,,0,stable,,1/2+,+1.13160(3),,,
,,1270,0.52 ps,,3/2+,+0.30(8),,,
,,2230,0.25 ps,,5/2+,+2.8(5),,,
15 P 32,,0,14.28 d,,1+,-0.2524(3),,,
16 S 31,,0,2.6 s,,1/2+,0.48793(8),,,
16 S 32,,2230,0.16 ps,,2+,+0.9(2),,,
,,,,,,+0.9(2),,,
,,,,,,,,-0.16(2),R
,,,,,,,,-0.15(2),
,,,,,,,,-0.16(2) or -0.13(2),
,,,,,,,,-0.18(4) or -0.15(4),
,,,,,,,,-0.12(5),
,,4459,0.144ps,,4+,+1.6(6),,,
16 S 33,,0,stable,,3/2+,+0.6438212(14),,,
,,,,,,,,-0.0678(13),R
,,,,,,,,-0.064(10) st,
,,,,,,,,-0.084(8),
,,,,,,,,-0.0678(13),
16 S 34,,2128,0.32 ps,,2+,+1.0(2),,,
,,,,,,,,+0.04(3),R
,,,,,,,,+0.06(4),
16 S 35,,0,87.4 d,,3/2+,+1.00(4) or +1.07(4),,,
,,,,,,,,+0.0471(9),R
,,,,,,,,+0.045(10),
16 S 38,,1292,3.4 ps,,2+,+0.26(10),,,
16 S 40,,904,14.6 ps,,2+,-0.02(12),,,
16 S 43,,320,415 ns,,7/2-,1.110(14),,,
,,,,,,,,0.23(3),R
17 Cl 32,,0,298 ms,,1+,+1.114(6),,,
17 Cl 33,,0,2.52 s,,3/2+,+0.7549(3) d,,,
,,,,,,+0.752(2),,,
17 Cl 35,,0,stable,,3/2+,+0.8218743(4),,,
,,,,,,,,0.0850(11),
,,,,,,,,0.0819(11) a,
,,,,,,,,-0.817(8) a,R
,,,,,,,,-0.08249(2) st,
,,,,,,,,-0.076(5),
17 Cl 36,,0,3.0x105 y,,2+,+1.28547(5),,,
,,,,,,,,-0.178(4),R
,,,,,,,,-0.0180(4) st,
17 Cl 37,,0,stable,,3/2+,+0.6841236(4),,,
