nucleus,,energy_level,half_life,,spin,magnetic_dipole_moment,,electric_quadrupole_moment,Recommended
37 Rb 86,,0,18.65 d,,2-,-1.6920(14),,,
,,,,,,-1.698(2),,,
,,,,,,,,+0.23(6),R
,,,,,,,,+0.20(3),
,,556,1.02 m,,(6-),+1.815(1),,,
,,,,,,,,+0.45(14),R
37 Rb 87,,0,4.9 10*10y,,3/2-,+2.75131(12),,,
,,,,,,+2.751818(2),,,
,,,,,,+2.751235(3),,,
,,,,,,,,+0.1335(5),R
,,,,,,,,+0.134(1),
,,,,,,,,+0.138(1),
,,,,,,,,+0.132(1) st,
,,,,,,,,+0.127(1) st,
,,,,,,,,+0.13(2) st,
37 Rb 88,,0,17.7 m,,2-,0.508(5),,,
,,,,,,0.50761(1),,,
,,,,,,+0.512(3),,,
,,,,,,,,-0.01(11),R
37 Rb 89,,0,15.2 m,,3/2-,+2.3836(7),,,
,,,,,,+2.378(4),,,
,,,,,,+2.377(5),,,
,,,,,,,,+0.17(3),R
,,,,,,,,0.16(3) st,
37 Rb 90,,107,4.26 m,,3-,+1.6160(6),,,
,,,,,,+1.612(5),,,
,,,,,,,,+0.25(7),R
37 Rb 91,,0,58 s,,3/2-,+2.1815(15),,,
,,,,,,+2.177(5),,,
,,,,,,+2.177(3),,,
,,,,,,,,+0.19(5),R
,,,,,,,,0.14(3) st,
37 Rb 93,,0,5.85 s,,5/2-,+1.410(2),,,
,,,,,,+1.400(6),,,
,,,,,,,,+0.21(6),R
,,,,,,,,0.27(6) st,
37 Rb 94,,0,2.73 s,,3-,+1.498(2),,,
,,,,,,,,+0.20(7),R
37 Rb 95,,0,0.38 s,,5/2-,+1.334(3),,,
,,,,,,,,+0.26(9),R
37 Rb 96,,0,0.20 s,,2+,+1.466(2),,,
,,,,,,,,+0.30(9),R
37 Rb 97,,0,0.17 s,,3/2-,+1.841(2),,,
,,,,,,,,+0.70(15),R
38 Sr 77,,0,9 s,,5/2+,-0.348(4),,,
,,,,,,,,+1.27(5),R
,,,,,,,,+1.40(11) st,
38 Sr 79,,0,2.25 m,,(3/2-),-0.474(4),,,
,,,,,,,,+0.661(6),R
,,,,,,,,+0.708(6),
,,,,,,,,+0.73(6) st,
38 Sr 81,,0,22.3 m,,1/2-,+0.543(4),,,
,,,,,,+0.542(4),,,
38 Sr 82,,573,8.9 ps,,2+,+0.94(16),,,
,,1328,1.0 ps,,4+,+1.9(3),,,
,,2229,0.37 ps,,6+,+3.5(5),,,
,,2817,3.0 ps,,5-,+2(2),,,
,,3243,0.24 ps,,8+,+6.6(8),,,
,,,,,,+5.6(8),,,
,,3623,-,,8+,+5.6(8),,,
,,4424,0.9 ps,,10+,+11(5),,,
38 Sr 83,,0,32.4 h,,7/2+,-0.829(2),,,
,,,,,,-0.8298(3),,,
,,,,,,,,+0.708(11),R
,,,,,,,,+0.761(12),
,,,,,,,,+0.78(7) st,
,,,,,,,,+0.82(5) st,
,,259,5.0 s,,1/2-,+0.581(4),,,
38 Sr 84,,793,2.9 ps,,2+,+0.96(2),,,
,,,,,,+0.84(9),,,
,,2769,9.5 ps,,5-,+8.0(10),,,
,,3332,157 ps,,8+,-1(2),,,
,,,,,,-1.1(6),,,
,,3488,4.4 ps,,7-,+4.2(14),,,
,,3680,3.3 ps,,8+,+7.2(8),,,
,,4448,2.2 ps,,10+,+2.0(10),,,
,,4534,1.66 ps,,10+,+8(2),,,
,,4636,2.5 ps,,9-,0(4),,,
38 Sr 85,,0,64.8 d,,9/2+,-1.000(2),,,
,,,,,,-1.0005(3),,,
,,,,,,,,+0.263(14),R
,,,,,,,,+0.282(15),
,,,,,,,,+0.29(3) st,
,,239,68 m,,1/2-,+0.600(4),,,
,,,,,,+0.599(2),,,
38 Sr 86,,1077,1.4 ps,,2+,+0.57(3),,,
,,,,,,+0.55(10),,,
,,1854,0.39 ps,,2+,+0.8(3),,,
,,2230,1.7 ps,,4+,-3(2),,,
,,2956,457 ns,,8+,-1.93(2),,,
38 Sr 87,,0,stable,,9/2+,-1.0928(7),,,
,,,,,,-1.0936030(13),,,
,,,,,,,,+0.305(2),R
,,,,,,,,+0.33(2),
,,,,,,,,+0.34(2) st,
,,388,2.80 h,,1/2-,+0.624(4),,,
,,,,,,+0.788(9),,,
38 Sr 88,,1836,0.15 ps,,2+,+2.4(2),,,
,,,,,,+2.3(3),,,
38 Sr 89,,0,50.5 d,,5/2+,-1.147(2),,,
,,,,,,-1.1481(8),,,
,,,,,,,,-0.253(8),R
,,,,,,,,-0.271(9),
,,,,,,,,-0.28(3) st,
,,,,,,,,-0.32(2) st,
38 Sr 91,,0,9.5 h,,5/2+,-0.885(2),,,
,,,,,,,,+0.042(10),R
,,,,,,,,+0.045(11),
,,,,,,,,+0.047(12),
,,94,88.9 ns,,3/2+,-0.35(2),,,
,,,,,,0.120(3),,,
38 Sr 93,,0,7.4 m,,5/2+,-0.793(2),,,
,,,,,,,,+0.240(10),R
,,,,,,,,+0.258(11),
,,,,,,,,+0.26(3),
,,213,4.6 ns,,(3/2+),-0.34(2),,,
38 Sr 95,,0,10.3 m,,1/2-,-0.537(2),,,
38 Sr 97,,0,0.40 s,,1/2-,-0.498(2),,,
38 Sr 98,,144,2.8 ns,,2+,0.76(14),,,
38 Sr 99,,0,0.269 s,,3/2+,-0.261(5),,,
,,,,,,,,+0.76(4),R
,,,,,,,,+0.84(8),
39 Y 83,,145,119 ps,,(7/2+),+2.1(6),,,
,,595,5.4 ps,,(13/2+),+8(3),,,
,,,,,,+4.4(7),,,
,,1406,1.0 ps,,(17/2+),+8(2),,,
,,2371,0.6 ps,,(21/2+),+11(2),,,
,,2560,46 ps,,(17/2-),+2.5(5),,,
,,3451,,,(25/2+),+7.0(12),,,
,,4643,,,(29/2+),+8(2),,,
,,5983,,,(33/2+),+8(2),,,
39 Y 84,,112,79 ns,,(4+),+2.31(3),,,
,,210,292 ns,,(4-),+0.94(2),,,
39 Y 85,,20,4.9 h,,9/2+,6.2(5),,,
,,266,170 ns,,5/2-,+1.36(2),,,
,,,,,,+1.33(8),,,
39 Y 86,,0,14.5 h,,4-,<0.6,,,
,,208,70 ns,,5-,-0.415(15),,,
,,218,46 m,,8+,4.8(3),,,
,,243,28.5 ns,,2-,-1.06(6),,,
,,302,125 ns,,6+,+3.78(12),,,
39 Y 87,,0,79.8 h,,1/2-,-0.19(2),,,
,,381,13.4 h,,9/2+,+6.24(2),,,
,,,,,,6.06(7),,,
,,,,,,,,-0.50(6),R
39 Y 88,,0,,,4-,-0.42(1),,,
,,,,,,,,+0.16(3),R
,,675,14 ms,,8+,+4.88(3),,,
,,,,,,+4.87(5),,,
,,,,,,,,+0.06(6),R
39 Y 89,,0,stable,,1/2-,-0.1374154(3),,,
,,,,,,-0.1374208(4),,,
,,909,16.1 s,,9/2+,+6.37(4),,,
,,,,,,6.23(7),,,
,,,,,,,,-0.43(6),R
39 Y 90,,0,64.1 h,,2-,-1.630(8),,,
,,,,,,,,-0.125(11),R
,,,,,,,,-0.155(3),
,,203,250 ps,,3-,-0.85(7),,,
,,682,3.19 h,,7+,+5.28(3),,,
,,,,,,5.1(5),,,
,,,,,,,,-0.65(8),R
39 Y 91,,0,58.5 d,,1/2-,0.1641(8),,,
,,556,49.7m,,9/2+,5.96(4),,,
,,,,,,5.97(7),,,
39 Y 92,,0,3.54 h,,2-,-0.67(2),,,
,,,,,,,,0.00(2),R
39 Y 93,,0,10.2 h,,1/2-,-0.12(3),,,
,,,,,,-0.1390(9),,,
,,758,0.82 s,,9/2+,+6.04(3),,,
,,,,,,,,-0.64(8),R
39 Y 94,,0,18.7 m,,2-,-0.24(2),,,
,,,,,,,,-0.03(3),R
39 Y 95,,0,10.3 m,,1/2-,-0.16(3),,,
39 Y 96,,1140,9.6 s,,8+,+6.57(3),,,
,,,,,,,,-0.98(11),R
39 Y 97,,0,3.75 s,,1/2-,-0.12(1),,,
,,668,1.17 s,,9/2+,+5.88(2),,,
,,,,,,,,-0.76(8),R
,,3522,142 ms,,(27/2),+5.64(3),,,
,,,,,,,,-1.21(14),R
39 Y 98,,410,2.0 s,,4,+2.98(2),,,
,,,,,,,,+1.7(2),R
39 Y 99,,0,1.47 s,,5/2+,+3.18(2),,,
,,,,,,,,+1.55(17),R
39 Y 100,,(143),0.94 s,,4,+2.75(1),,,
,,,,,,,,+1.85(20),R
39 Y 101,,0,0.45 s,,5/2+,+3.22(2),,,
,,,,,,,,+1.53(17),R
39 Y 102,,0 +x,0.3 s,,2,+2.34(5),,,
,,,,,,,,+1.17(13),R
40 Zr 84,,540,14.1 ps,,2+,+0.5(7),,,
,,,,,,1.0(2),,,
,,1263,2.8 ps,,4+,+3(3),,,
,,,,,,1.6(12),,,
,,2136,1.8 ps,,6+,+1(3),,,
,,,,,,11(7),,,
,,3088,1.4 ps,,8+,12(5),,,
,,4067,1.0 ps,,10+,5(8),,,
,,5134,0.6 ps,,12+,11(8),,,
,,6300,0.35 ps,,14+,18(7),,,
,,,,,8+ - 14+,g(avge) = 0.87(10),,,
40 Zr 85,,2625,-,,(17/2-),+11(4),,,
,,2958,-,,(19/2-),+11(3),,,
,,3387,-,,(21/2-),+9(3),,,
,,3838,-,,(23/2-),+6(2),,,
40 Zr 86,,-,-,,5-/7-/9-,g(avge) = +0.5(2),,,
,,3298,62 ps,,8+,-0(3),,,
,,,,,,+2(4),,,
,,,,,,-0.2(7),,,
,,,,,,-8(5),,,
,,3532,<4 ps,,8+,+15(12),,,
,,-,-,,,+10(2)[avge8+/10+],,,
,,4326,2.1 ps,,10+,-7(11),,,
,,,,,,-5(10),,,
,,5396,2.6 ps,,12+,-20(9),,,
,,,,,,-4(10),,,
,,5524,-,,12+,+7(2),,,
,,6321,5.2 ps,,14+,+30(8),,,
,,,,,,+28(6),,,
,,,,,,+26(9),,,
40 Zr 87,,0,1.68 h,,9/2+,-0.895(5),,,
,,,,,,,,+0.42(5),R
,,336,14.0 s,,1/2-,+0.642(16),,,
40 Zr 88,,1057,2.5 ps,,2+,+0.6(2),,,
,,2140,1.5 ps,,4+,+2.6(7),,,
,,2889,1.32 s,,8+,-1.81(2),,,
,,,,,,-1.60(16),,,
,,,,,,,,+0.44(3),R
,,,,,,,,+0.51(3),
40 Zr 89,,0,78.4 h,,9/2+,-1.046(6),,,
,,,,,,-1.08(2),,,
,,,,,,-1.07(3),,,
,,,,,,,,+0.28(10),R
,,588,4.16 m,,1/2-,+0.795(18),,,
,,2995,5.2 ns,,21/2+,+9.4(4),,,
40 Zr 90,,2186,0.087 ps,,2+,+2.5(4),,,
,,2319,0.8 s,,5-,6.25(13),,,
,,2748,140 ps,,3-,+3.0(2),,,
,,3589,134 ns,,8+,+10.84(6),,,
,,,,,,,,-0.44(3),R
,,,,,,,,-0.51(3),
40 Zr 91,,0,stable,,5/2+,-1.30362(2),,,
,,,,,,,,-0.176(3),R
,,,,,,,,-0.257(13),
,,,,,,,,-0.21(2),
,,,,,,,,-0.23(2) a,
,,2287,29 ns,,15/2-,+5.25(8),,,
,,3167,3.6 s,,21/2+,+9.82(8),,,
,,,,,,,,0.71(4),R
,,,,,,,,0.86(5),
40 Zr 92,,934,4.85 ps,,2+,-0.36(4),,,
,,,,,,-0.36(2),,,
,,,,,,-0.06(10),,,
,,1495,102 ps,,4+,-2.0(4),,,
,,1847,0.096 ps,,2+,1.5(10),,,
40 Zr 94,,918,7.3 ps,,2+,0.68(4),,,
,,,,,,-0.66(3),,,
,,,,,,-0.52(12),,,
,,,,,,-0.10(10),,,
,,1470,500 ps,,4+,-3.2(16),,,
,,1671,0.12 ps,,2+,+1.8(5),,,
40 Zr 95,,0,64.0 d,,5/2+,1.13(2),,,
,,,,,,,,+0.22(2),R
,,,,,,,,+0.29(5) if Vzz (ZrZr) +ve,
40 Zr 96,,1750,0.57 ps,,2+,+0.06(14),,,
,,1897,67.8 ps,,3-,+2.9(5),,,
40 Zr 97,,0,16.8 h,,1/2+,-0.937(5),,,
,,1264,102 ns,,7/2+,+1.37(14),,,
40 Zr 99,,0,2.2 s,,1/2+,-0.930(4),,,
,,122,1.07 ns,,3/2+,+0.42(6),,,
40 Zr 100,,213,0.61 ns,,2+,+0.60(6),,,
,,,,,,0.52(12),,,
,,,,,,0.44(10),,,
40 Zr 101,,0,2.4s,,3/2+,-0.272(8),,,
,,,,,,,,+0.81(6),R
,,98,0.6 ns,,5/2+,+0.12(7),,,
,,217,0.33 ns,,5/2-,-0.5(3),,,
,,232,<7 ps,,7/2+,+0.6(4),,,
,,321,0.27 ns,,7/2-,-0.14(11),,,
40 Zr 102,,152,1.9 ns,,2+,+0.44(10),,,
41 Nb 87,,2412,58 ps,,17/2-,+7.0(9),,,
,,2491,13.8 ps,,21/2+,+4.3(14),,,
,,,,,,+3.8(12),,,
,,2858,0.8 ps,,21/2+,-6(11),,,
,,3217,0.6 ps,,23/2+,+16(9),,,
,,3443,1.7 ps,,25/2+,+3(2),,,
,,3739,_,,25/2+,+1(3),,,
,,4127,3.0 ps,,25/2-,+6(5),,,
,,5010,3.5 ps,,29/2-,+7(2),,,
,,,,,,+8(3),,,
41 Nb 89,,0,2.0 h,,9/2+,6.216(5),,,
,,2193,14 ns,,21/2+,+3.40(7),,,
41 Nb 90,,0,14.6 h,,8+,+4.952(4),,,
,,,,,,4.961(4),,,
,,,,,,,,+0.01(4),R
,,,,,,,,+0.046(7),
,,125,18.8 s,,4-,-0.018(9),,,
,,,,,,,,-0.26(4),R
,,122,66 s,,6+,+3.72(2),,,
,,1881,477 ns,,11-,+8.78(3),,,
41 Nb 91,,0,680 y,,9/2+,+6.521(2),,,
,,,,,,,,-0.25(3),R
,,105,60.9 d,,1/2-,-0.101(2),,,
,,1985,10 ns,,13/2-,+9.14(13),,,
,,2037,3.4 s,,17/2-,+10.82(14),,,
,,,,,,+10.81(15),,,
,,3467,0.9 ns,,21/2+,+12(2),,,
41 Nb 92,,0,3.5 x 107 y,,7+,+5.136(4),,,
,,,,,,,,-0.35(3),R
,,135,10.15 d,,2+,+6.137(4),,,
,,225,4.3 s,,2-,-1.398(14),,,
,,2203,167 ns,,11-,+9.7(3),,,
41 Nb 93,,0,stable,,9/2+,+6.1705(3),,,
,,,,,,,,-0.32(2),R
,,,,,,,,-0.37(2),
41 Nb 95,,0,35.2 d,,9/2+,6.141(5),,,
,,,,,,6.140(6),,,
,,,,,,6.143(5),,,
,,,,,,6.004(12),,,
,,,,,,,,Q -ve if Vzz (NbZr) +ve,
41 Nb 96,,0,23.4 h,,6+,4.976(4),,,
,,,,,,4.975(4),,,
41 Nb 97,,0,72.1 m,,9/2+,6.153(5),,,
41 Nb 99,,0,15 s,,9/2+,+5.97(3),,,
,,,,,,,,-0.42(14),R
41 Nb 101,,0,7.1 s,,5/2+,+3.190(2),,,
,,,,,,,,+1.05(7),R
41 Nb 103,,0,1.5 s,,5/2+,+3.137(4),,,
,,,,,,,,+1.08(9),R
42 Mo 88,,_,_,,"6+,8+",g(avge) = +0.5(3),,,
42 Mo 89,,2584,9.5 ns,,21/2+,+8.3(4),,,
42 Mo 90,,2594,16 ps,,5-,+5.5(14),,,
,,2875,1.1 s,,8+,-1.391(14),,,
,,,,,,,,0.61(3),R
,,,,,,,,0.58(3),
,,4842,39 ps,,11-,+4.6(14),,,
,,4556,526 ps,,12+,+6.0(7),,,
42 Mo 91,,0,15.5 m,,9/2+,-0.932(3),,,
,,2267,47 ns,,21/2+,+8.81(8),,,
,,,,,,+8.97(9),,,
,,2279,38 ns,,17/2-,+4.51(6),,,
42 Mo 92,,1509,0.38 ps,,2+,+2.3(3),,,
,,2760,190 ns,,8+,+11.30(5),,,
,,,,,,+11.35(8),,,
,,,,,,,,-0.36,R
,,,,,,,,0.34,
,,4486,9.2 ns,,11-,+13.9(3),,,
,,,,,,+14.17(13),,,
42 Mo 93,,2425,6.85 h,,21/2+,+9.93(8),,,
42 Mo 94,,871,2.9 ps,,2+,+0.62(9),,,
,,,,,,,,-0.13(8) or +0.01(8),R
,,2956,98 ns,,8+,+10.46(7),,,
,,,,,,+10.54(12),,,
,,,,,,,,0.50(1),R
,,,,,,,,0.47(1),
42 Mo 95,,0,stable,,5/2+,-0.9142(1),,,
,,,,,,,,-0.022(1),R
,,,,,,,,-0.015(4),
,,204,0.75 ns,,3/2+,-0.404(12),,,
,,,,,,-0.378(15),,,
42 Mo 96,,778,3.7 ps,,2+,+0.79(6),,,
,,,,,,,,-0.20(8) or +0.04(8),R
42 Mo 97,,0,stable,,5/2+,-0.9335(1),,,
,,,,,,,,+0.255(13),R
,,,,,,,,+0.17(4),
,,,,,,,,0.27(10) a,
42 Mo 98,,787,3.5 ps,,2+,+0.97(6),,,
,,,,,,+0.97(7),,,
,,,,,,+0.7(4),,,
,,,,,,,,-0.26(9),R
42 Mo 99,,0,65.9 h,,1/2+,0.375(3),,,
,,98,17 s,,5/2+,-0.775(5),,,
,,536,10.3 ps,,2+,+0.94(7),,,
42 Mo 100,,536,10.3 ps,,2+,+0.94(7),,,
,,,,,,+0.7(4),,,
,,,,,,,,-0.25(7),R
,,,,,,,,-0.42(9) or -0.10(9),
,,,,,,,,-0.39(8) or -0.13(8),
42 Mo 102,,297,0.11 ns,,2+,0.84(14),,,
,,,,,,+0.8(4),,,
42 Mo 103,,0,67.5 s,,3/2+,-0.27(2),,,
,,103,0.43 ns,,5/2+,+0.14(3),,,
,,354,1.20 ns,,7/2-,-0.33(11),,,
42 Mo 104,,192,0.9 ns,,2+,+0.50(4),,,
,,,,,,+0.54(4),,,
,,,,,,0.4(2),,,
42 Mo 105,,0,35.6 s,,(5/2-),-0.55(2),,,
,,95,0.48 ns,,7/2-,-0.22(3),,,
,,234,0.11 ns,,9/2-,-0.12(16),,,
42 Mo 106,,172,1.25 ns,,2+,+0.42(4),,,
42 Mo 107,,66,245 ns,,_,g = -0.92(3),,,
42 Mo 108,,193,0.50 ns,,2+,+1.0(6),,,
43 Tc 92,,2002,3.2 ns,,11-,+8.9(3),,,
43 Tc 93,,0,2.75 h,,9/2+,6.32(6),,,
,,,,,,6.26(10),,,
,,2186,10.1 s,,17/2-,+10.46(5),,,
43 Tc 94,,0,293 m,,7+,5.12(5),,,
,,,,,,5.08(8),,,
,,,,,,5.0(3),,,
43 Tc 95,,0,20.0 h,,9/2+,5.94(6),,,
,,,,,,5.89(10),,,
,,,,,,5.82(12),,,
43 Tc 96,,0,4.28 d,,7+,5.09(5),,,
,,,,,,+5.04(8),,,
,,,,,,5.4(2),,,
,,120,26 ns,,(2)-,-0.47(2),,,
43 Tc 99,,0,2.1x10*5y,,9/2+,+5.6847(4),,,
,,,,,,,,-0.129(6),R
,,141,0.205 ns,,7/2+,+4.48(15),,,
,,,,,,3.6(9),,,
,,,,,,+4.4(9),,,
,,181,3.44 ns,,5/2+,3.48(4),,,
,,,,,,+3.62(5),,,
,,,,,,+3.29(6),,,
43 Tc 108,,>153,100 ns,,_,g = +0.50(4),,,
44 Ru 93,,2082,2.4 s,,21/2+,+8.97(2),,,
,,,,,,,,+0.04(1),R
,,2279,35 ns,,17/2-,+4.4(2),,,
44 Ru 94,,2498,65 ns,,6+,+8.12(5),,,
,,,,,,+8.10(7),,,
,,2643,68 s,,8+,+11.10(4),,,
,,4489,1.10 ns,,11-,14.1(1.7),,,
,,4716,34.3 ps,,12+,12.4(1.7),,,
44 Ru 95,,0,1.64 h,,5/2+,0.861(7),,,
,,2285,3 ns,,17/2+,+6.98(14),,,
,,2540,10 ns,,21/2+,+9.17(7),,,
,,3908,36 ps,,25/2-,11(4),,,
,,6211,9.5 ps,,29/2+,9(5),,,
,,7624,21 ps,,35/2+,7(2),,,
44 Ru 96,,833,2.7 ps,,2+,+0.89(6),,,
,,,,,,+0.94(6),,,
,,,,,,+0.92(4),,,
,,,,,,,,-0.15(8),R
,,,,,,,,-0.13(9),
,,,,,,,,-0.1(2),
,,,,,,,,-0.2(3),
,,1515,6.9 ps,,4+,+2.3(3),,,
44 Ru 97,,0,2.88 d,,5/2+,-0.787(8),,,
,,,,,,0.73(5),,,
,,2739,7.8 ns,,21/2+,+9.2(8),,,
44 Ru 98,,653,5.9 ps,,2+,+0.82(6),,,
,,,,,,+0.94(6),,,
,,,,,,+0.8(6),,,
,,,,,,,,-0.21(8) or -0.01(9),R
,,,,,,,,-0.20(9) or -0.01(9),
,,,,,,,,-0.03(14),
44 Ru 99,,0,stable,,5/2+,-0.641(5),,,
,,,,,,0.8922344(4),,,
,,,,,,,,+0.079(4),R
,,90,20.5 ns,,3/2+,-0.284(6),,,
,,,,,,-0.292(3),,,
,,,,,,,,+0.231(13),R
44 Ru 100,,540,12 ps,,2+,+0.86(5),,,
,,,,,,+0.88(6),,,
,,,,,,+1.02(13),,,
,,,,,,,,-0.44(4) or -0.27(7),R
,,,,,,,,-0.54(7) or -0.33(7),
,,,,,,,,-0.43(7) or -0.20(7),
,,,,,,,,-0.54(7) or -0.33(7),
,,,,,,,,-0.40(12),
,,,,,,,,-0.13(7),
44 Ru 101,,0,stable,,5/2+,-0.719(6),,,
,,,,,,-0.716(6),,,
,,,,,,,,+0.46(2),R
,,127,0.65 ns,,3/2+,-0.210(5),,,
,,,,,,-0.236(12),,,
44 Ru 102,,475,18 ps,,2+,+0.91(5),,,
,,,,,,+0.86(6),,,
,,,,,,+0.74(6),,,
,,,,,,,,-0.63(4) or -0.34(3),R
,,,,,,,,-0.64(5) or -0.33(4),
,,,,,,,,-0.57(7) or -0.35(7),
,,,,,,,,-0.68(8),
44 Ru 103,,0,39.4 d,,3/2+,0.206(3),,,
,,,,,,0.200(7),,,
,,,,,,0.19(2),,,
,,,,,,-0.23(6),,,
,,,,,,,,+0.62(2),R
44 Ru 104,,358,58 ps,,2+,+0.81(4),,,
,,,,,,+0.78(6),,,
,,,,,,+0.82(10),,,
,,,,,,,,-0.78(7) or -0.20(12),R
,,,,,,,,-0.62(8) or -0.05(7),
,,,,,,,,-0.70(8) or -0.35(8),
,,,,,,,,-0.8(2),
,,,,,,,,-0.66(5),
44 Ru 105,,0,4.44h,,3/2+,-0.32(+8/-20),,,
44 Ru 106,,270,est 0.20 ns,,2+,+0.6(2),,,
44 Ru 108,,242,0.34 ns,,2+,+0.46(8),,,
,,,or 0.29 ns,,,+0.56(8),,,
44 Ru 109,,>95,780 ns,,_,g = -0.22(1),,,
44 Ru 110,,241,0.30 ns,,2+,+0.88(14),,,
,,,or 0.33 ns,,,+0.82(12),,,
44 Ru 112,,237,0.32 ns,,2+,+0.9(2),,,
45 Rh 95,,2236,19 ns,,17/2-,+10.9(3),,,
45 Rh 99,,65,4.7 h,,9/2+,5.62(6),,,
,,,,,,5.668(12),,,
,,,,,,5.666(14),,,
45 Rh 100,,75,215 ns,,2+,+4.324(8),,,
,,,,,,,,0.153(18),R
,,112+x,140 ns,,7+,+4.69(14),,,
,,,,,,+4.8(4),,,
45 Rh 101,,157,4.34 d,,9/2+,5.43(6),,,
,,,,,,+5.475(12),,,
,,,,,,5.472(14),,,
45 Rh 102,,0,206 d,,2-,0.5(4),,,
,,141,2.9 y,,6+,4.01(4),,,
,,,,,,4.040(9),,,
,,,,,,4.044(12),,,
45 Rh 103,,0,stable,,1/2-,-0.8840(2),,,
,,40,56.1 m,,7/2+,4.50(5),,,
,,,,,,4.540(11),,,
,,93,1.06 ns,,9/2+,+4.9(8),,,
,,295,6.7 ps,,3/2-,+0.81(8),,,
,,,,,,+0.69(12),,,
,,,,,,,,-0.3(2),R
,,357,73 ps,,5/2-,+1.08(8),,,
,,,,,,+0.9(2),,,
,,,,,,+1.09(5),,,
,,,,,,,,-0.4(2),R
,,848,1.9 ps,,7/2-,+2.0(6),,,
,,920,5.6 ps,,9/2-,+2.8(5),,,
45 Rh 104,,215.5 + x,47 ns,,6-,+2.00(6),,,
45 Rh 105,,0,35.4 h,,7/2+,4.41(5),,,
,,,,,,4.452(10),,,
,,,,,,4.36(12),,,
45 Rh 106,,0,29.8 s,,1+,2.575(7),,,
,,,,,,3.09(9),,,
46 Pd 96,,2532,2.22 s,,8+,+10.97(6),,,
,,7039,35 ns,,(15+),+12.5(6),,,
46 Pd 100,,666,6.2 ps,,2+,+0.6(3),,,
,,1416,2.5 ps,,4+,+1.8(6),,,
46 Pd 101,,0,8.5 h,,5/2+,-0.66(2),,,
46 Pd 102,,556,11.3 ps,,2+,+0.82(6),,,
,,,,,,+0.82(8),,,
,,,,,,+0.78(10),,,
,,,,,,,,-0.20(15),R
,,,,,,,,-0.2(2),
46 Pd 103,,785,25 ns,,11/2-,-1.05(6),,,
46 Pd 104,,556,9.7 ps,,2+,+0.89(6),,,
,,,,,,+0.92(8),,,
,,,,,,+0.76(8),,,
,,,,,,0.80(10),,,
,,,,,,,,-0.46(11),R
46 Pd 105,,0,stable,,5/2+,-0.642(3),,,
,,,,,,,,0.660(11),R
,,,,,,,,+0.65(3),
,,280,67 ps,,3/2+,-0.074(13),,,
,,319,38 ps,,5/2+,+1.0(2),,,
,,645,126 ps,,7/2-,-1.49(9),,,
46 Pd 106,,512,12 ps,,2+,+0.79(5(,,,
,,,,,,+0.78(3),,,
,,,,,,+0.80(4),,,
,,,,,,,,-0.51(7),R
,,,,,,,,-0.56(8) or -0.41(8),
,,1128,3.1 ps,,2+,+0.96(18),,,
,,,,,,+0.60(12),,,
,,1229,1.5 ps,,4+,+1.8(4),,,
46 Pd 108,,434,23 ps,,2+,+0.69(4),,,
,,,,,,+0.72(6),,,
,,,,,,+0.76(6),,,
,,,,,,+0.64(6),,,
,,,,,,0.84(10),,,
,,,,,,,,-0.58(4),R
,,,,,,,,-0.48(5),
,,,,,,,,-0.51(6) or -0.30(6),
,,,,,,,,-0.7(2),
,,,,,,,,-0.7(3),
46 Pd 110,,374,46 ps,,2+,+0.67(4),,,
,,,,,,+0.62(6),,,
,,,,,,+0.62(6),,,
,,,,,,+0.70(6),,,
,,,,,,0.74(6),,,
,,,,,,,,-0.47(3),R
,,,,,,,,-0.55(8) or -0.35(8),
46 Pd 114,,333,117 ps,,2+,+0.5(2),,,
46 Pd 116,,341,0.11 ns,,2+,+0.4(2),,,
47 Ag 97,,0,25.5 s,,(9/2+),+6.13(2),,,
47 Ag 98,,0,47.5 s,,if 6,+4.64(7),,,
,,,,,if 5,+4.57(7),,,
47 Ag 99,,0,124 s,,(9/2+),+5.81(3),,,
47 Ag 100,,0,2.01 m,,5-,+4.37(3),,,
47 Ag 101,,0,11.4 m,,9/2+,+5.57(4),,,
,,,,,,+5.627(11),,,
,,,,,,5.7(4),,,
,,,,,,,,+0.35(5),R
,,,,,,,,+0.33(5),
47 Ag 102,,0,13 m,,5+,4.6(7),,,
,,9,7.7 m,,2+,4.1(3),,,
,,181,3.5 ns,,7+,4.6(3),,,
47 Ag 103,,0,1.10 h,,7/2+,+4.432(2),,,
,,,,,,+4.47(5),,,
,,,,,,,,+0.84(9),R
,,,,,,,,+0.80(9),
47 Ag 104,,0,69 m,,5+,3.919(3),,,
,,,,,,3.916(8),,,
,,,,,,3.917(8),,,
,,,,,,,,+1.06(11),R
,,,,,,,,+1.01(11),
,,7,33 m,,2+,3.691(3),,,
,,,,,,+3.7(2),,,
,,,,,,4.1(3),,,
,,212,1.4 ns,,7+,4.8(3),,,
47 Ag 105,,0,41.3 d,,1/2-,0.1014(10),,,
,,25,7.2 m,,7/2+,+4.414(13),,,
,,,,,,,,+0.85(11),R
,,,,,,,,+0.81(11),
,,1734,6.0 ns,,15/2+,+3.73(14),,,
,,,,,,+3.8(2),,,
,,,,,,+4.4(5),,,
47 Ag 106,,0,24 m,,1+,+2.8(2),,,
,,90,85 d,,6+,+3.705(4),,,
,,,,,,+3.709(4),,,
,,,,,,+3.709(4),,,
,,,,,,+3.82(8),,,
,,,,,,,,+1.06(16),
